테스트ID,시나리오명,테스트목적,사전조건,상세단계,예상결과,통과여부,테스터,테스트일자,비고
E2E-001,신규 사용자 온보딩 플로우,신규 가입부터 첫 미션 완료까지 전체 흐름 검증,앱 미설치 상태,"1. 앱 스토어에서 앱 설치
2. 앱 실행 및 온보딩 화면 확인
3. Google 소셜 로그인 진행
4. 닉네임 설정 화면에서 닉네임 입력
5. 닉네임 중복 확인 후 저장
6. 약관 동의 화면에서 필수 약관 동의
7. 홈 화면 진입 확인
8. 출석 체크 진행
9. 시스템 미션(미션북) 확인
10. 미션 참가 신청
11. 첫 미션 수행 완료","온보딩 완료, 첫 미션 수행 성공",미완료,,,
E2E-002,길드 활동 전체 플로우,길드 생성부터 해체까지 전체 사이클 검증,로그인된 사용자 2명 이상,"1. 사용자A: 길드 생성 (공개)
2. 사용자A: 길드 정보/이미지 설정
3. 사용자B: 길드 검색 및 가입 신청
4. 사용자A: 가입 신청 승인
5. 사용자B: 길드 채팅 메시지 전송
6. 사용자A: 채팅 메시지 확인 및 응답
7. 사용자A: 게시판에 공지글 작성
8. 사용자B: 공지글 확인 및 댓글 작성
9. 사용자A: 사용자B를 부마스터로 승격
10. 사용자B: 새 멤버 초대
11. 사용자A: 마스터 권한 사용자B에게 위임
12. 사용자B: 길드 설정 수정
13. 최종: 길드 해체",모든 길드 기능 정상 동작,미완료,,,
E2E-003,미션 라이프사이클,미션 생성부터 완료까지 전체 사이클 검증,로그인된 사용자 2명,"1. 사용자A: 미션 생성 (공개/일일 반복)
2. 사용자A: 미션 정보 수정
3. 사용자A: 미션 공개 처리
4. 사용자B: 공개 미션 검색
5. 사용자B: 미션 참가 신청
6. 사용자A: 참가 승인
7. 사용자A: 미션 시작
8. 사용자A/B: 오늘 미션 수행 시작
9. 사용자A/B: 미션 완료 처리 (노트/이미지 첨부)
10. 사용자A/B: 피드에 공유
11. 캘린더에서 완료 기록 확인
12. 일주일 후 완료율 확인
13. 사용자B: 미션 탈퇴
14. 사용자A: 미션 완료 처리",미션 전체 사이클 정상 동작,미완료,,,
E2E-004,소셜 상호작용 플로우,친구 추가/피드/댓글 등 소셜 기능 검증,로그인된 사용자 2명,"1. 사용자A: 사용자B 프로필 조회
2. 사용자A: 친구 요청 전송
3. 사용자B: 알림에서 친구 요청 확인
4. 사용자B: 친구 요청 수락
5. 친구 목록에서 서로 확인
6. 사용자A: 미션 완료 후 피드 공유
7. 사용자B: 타임라인에서 피드 확인
8. 사용자B: 좋아요 및 댓글 작성
9. 사용자A: 알림에서 좋아요/댓글 확인
10. 사용자A: 댓글에 답글 작성
11. 사용자B: 친구 삭제
12. 타임라인에서 상대방 피드 미표시 확인",소셜 기능 전체 정상 동작,미완료,,,
E2E-005,업적/칭호 시스템 플로우,업적 달성부터 칭호 장착까지 검증,신규 가입 사용자,"1. 신규 가입 완료
2. '첫 로그인' 업적 달성 확인
3. 업적 보상 수령 (경험치)
4. 첫 출석 체크 완료
5. '첫 출석' 업적 달성 확인
6. 첫 미션 참가
7. '첫 미션 도전' 업적 달성 확인
8. 업적 보상 수령 (칭호)
9. 마이페이지에서 칭호 확인
10. 칭호 장착 (좌측/우측)
11. 프로필에서 칭호 표시 확인
12. 다른 사용자가 볼 때 칭호 표시 확인",업적/칭호 시스템 정상 동작,미완료,,,
E2E-006,알림 시스템 플로우,모든 알림 유형 정상 동작 검증,로그인된 사용자 2명,"1. 사용자B가 사용자A에게 친구 요청
2. 사용자A: 친구 요청 알림 수신 확인
3. 사용자A: 알림 클릭 후 해당 화면 이동
4. 사용자A가 길드에 사용자B 초대
5. 사용자B: 길드 초대 알림 수신 확인
6. 미션 완료 시 경험치 알림 확인
7. 업적 달성 알림 확인
8. 알림 설정에서 특정 알림 끄기
9. 해당 알림 미수신 확인
10. 앱 백그라운드 상태에서 푸시 알림 수신
11. 푸시 알림 클릭 시 앱 내 해당 화면 이동",모든 알림 유형 정상 동작,미완료,,,
E2E-007,경험치/레벨 시스템,경험치 획득 및 레벨업 검증,로그인된 사용자,"1. 현재 레벨/경험치 확인
2. 출석 체크로 경험치 획득
3. 미션 완료로 경험치 획득
4. 업적 보상으로 경험치 획득
5. 경험치 누적 확인
6. 레벨업 조건 충족
7. 레벨업 알림 확인
8. 새 레벨 표시 확인
9. 랭킹 순위 변동 확인",경험치/레벨 시스템 정상 동작,미완료,,,
E2E-008,검색 기능 통합 검증,통합 검색 기능 검증,각 카테고리별 데이터 존재,"1. 검색 화면 진입
2. 미션 이름으로 검색
3. 미션 검색 결과 확인
4. 길드 이름으로 검색
5. 길드 검색 결과 확인
6. 사용자 닉네임으로 검색
7. 사용자 검색 결과 확인
8. 피드 내용으로 검색
9. 피드 검색 결과 확인
10. 검색 결과에서 항목 클릭 시 상세 이동",통합 검색 정상 동작,미완료,,,
E2E-009,다중 기기 세션 관리,여러 기기 로그인/로그아웃 검증,동일 계정 다중 기기 접근 가능,"1. 기기A에서 로그인
2. 기기B에서 동일 계정 로그인
3. 양쪽 기기에서 정상 사용 확인
4. 활성 세션 목록 확인 (2개)
5. 기기A에서 로그아웃
6. 기기B 정상 사용 가능 확인
7. 기기B에서 전체 로그아웃
8. 양쪽 기기 로그아웃 확인",다중 기기 세션 정상 관리,미완료,,,
E2E-010,시즌 참여 플로우,시즌 진행 중 활동 검증,활성 시즌 존재,"1. 시즌 배너 클릭하여 상세 진입
2. 시즌 정보 (기간/보상) 확인
3. 시즌 랭킹 확인
4. 시즌 내 미션 완료
5. 시즌 점수 반영 확인
6. 시즌 랭킹 변동 확인
7. 카테고리별 필터링
8. 내 시즌 랭킹 확인",시즌 기능 정상 동작,미완료,,,
