버그ID,제목,심각도,우선순위,상태,기능영역,발견일자,발견자,환경,OS버전,앱버전,재현단계,예상결과,실제결과,스크린샷,담당자,수정일자,수정버전,비고
BUG-001,[예시] 로그인 버튼 클릭 시 앱 크래시,Critical,높음,신규,인증,2025-01-19,홍길동,iOS,iOS 17.2,1.0.0,"1. 앱 실행
2. Google 로그인 버튼 클릭
3. 계정 선택",로그인 진행 후 홈 화면 이동,앱이 강제 종료됨,screenshot_001.png,,,,
,,,,,,,,,,,,,,,,,
=== 심각도 기준 ===,,,,,,,,,,,,,,,,,
Critical,앱 크래시 또는 데이터 손실 또는 핵심 기능 불가,,,,,,,,,,,,,,,,,
Major,주요 기능 동작 불가 또는 심각한 UX 문제,,,,,,,,,,,,,,,,,
Minor,기능 동작하나 불편함 또는 UI 오류,,,,,,,,,,,,,,,,,
Trivial,오타 또는 미미한 UI 문제,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
=== 우선순위 기준 ===,,,,,,,,,,,,,,,,,
높음,즉시 수정 필요 (출시 차단),,,,,,,,,,,,,,,,,
중간,다음 릴리즈 전 수정 필요,,,,,,,,,,,,,,,,,
낮음,일정 여유 있을 때 수정,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
=== 상태 정의 ===,,,,,,,,,,,,,,,,,
신규,새로 발견된 버그,,,,,,,,,,,,,,,,,
확인됨,담당자가 버그 확인,,,,,,,,,,,,,,,,,
수정중,수정 작업 진행 중,,,,,,,,,,,,,,,,,
수정완료,수정 완료 (QA 검증 대기),,,,,,,,,,,,,,,,,
검증완료,QA 검증 통과,,,,,,,,,,,,,,,,,
재발생,수정 후 다시 발생,,,,,,,,,,,,,,,,,
반려,버그 아님 또는 수정 안함,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
=== 기능영역 목록 ===,,,,,,,,,,,,,,,,,
인증,OAuth 로그인/로그아웃/토큰,,,,,,,,,,,,,,,,,
미션,미션 CRUD/참가/실행,,,,,,,,,,,,,,,,,
길드,길드 관리/채팅/게시판,,,,,,,,,,,,,,,,,
친구,친구 요청/수락/차단,,,,,,,,,,,,,,,,,
피드,피드 조회/좋아요/댓글,,,,,,,,,,,,,,,,,
마이페이지,프로필/닉네임/칭호,,,,,,,,,,,,,,,,,
알림,알림 목록/푸시/설정,,,,,,,,,,,,,,,,,
업적,업적/칭호/보상,,,,,,,,,,,,,,,,,
출석,출석 체크/보상,,,,,,,,,,,,,,,,,
랭킹,랭킹 조회,,,,,,,,,,,,,,,,,
시즌,시즌 정보/랭킹,,,,,,,,,,,,,,,,,
검색,통합 검색,,,,,,,,,,,,,,,,,
공통,앱 전반/네트워크/UI,,,,,,,,,,,,,,,,,
