기능영역,시나리오ID,시나리오명,사전조건,테스트단계,예상결과,우선순위,테스트상태,테스터,테스트일자,비고
인증,AUTH-001,Google 소셜 로그인,"앱 설치 완료, 네트워크 연결","1. 앱 실행
2. 로그인 버튼 클릭
3. Google 로그인 선택
4. Google 계정 선택/입력
5. 권한 동의",로그인 성공 후 홈 화면 이동,높음,미완료,,,
인증,AUTH-002,Kakao 소셜 로그인,"앱 설치 완료, 네트워크 연결","1. 앱 실행
2. 로그인 버튼 클릭
3. Kakao 로그인 선택
4. Kakao 계정 입력
5. 권한 동의",로그인 성공 후 홈 화면 이동,높음,미완료,,,
인증,AUTH-003,Apple 소셜 로그인 (iOS),"iOS 기기, 앱 설치 완료","1. 앱 실행
2. 로그인 버튼 클릭
3. Apple 로그인 선택
4. Face ID/Touch ID 인증",로그인 성공 후 홈 화면 이동,높음,미완료,,,
인증,AUTH-004,신규 회원 닉네임 설정,소셜 로그인 최초 완료,"1. 로그인 완료
2. 닉네임 설정 화면 표시
3. 닉네임 입력
4. 중복 확인
5. 저장",닉네임 설정 완료 및 홈 화면 이동,높음,미완료,,,
인증,AUTH-005,로그아웃,로그인 상태,"1. 마이페이지 이동
2. 설정 메뉴
3. 로그아웃 선택
4. 확인",로그아웃 완료 및 로그인 화면 이동,중간,미완료,,,
인증,AUTH-006,전체 기기 로그아웃,여러 기기에서 로그인 상태,"1. 마이페이지 > 설정
2. 전체 로그아웃 선택
3. 확인",모든 기기에서 로그아웃 처리,중간,미완료,,,
인증,AUTH-007,토큰 자동 갱신,로그인 후 장시간 경과,"1. 앱 백그라운드 유지
2. 시간 경과 후 앱 재진입
3. API 호출",자동으로 토큰 갱신되어 정상 동작,높음,미완료,,,
미션,MIS-001,미션 생성 (공개),로그인 상태,"1. 미션 탭 이동
2. 미션 생성 버튼 클릭
3. 제목/설명/카테고리 입력
4. 공개 설정
5. 기간/반복 설정
6. 생성 완료",미션 생성 완료 및 목록에 표시,높음,미완료,,,
미션,MIS-002,미션 생성 (비공개),로그인 상태,"1. 미션 생성 화면
2. 비공개로 설정
3. 나머지 정보 입력
4. 생성",비공개 미션 생성 (본인만 접근 가능),중간,미완료,,,
미션,MIS-003,미션 참가 신청,공개 미션 존재,"1. 공개 미션 목록 확인
2. 미션 상세 조회
3. 참가 신청 버튼 클릭",참가 신청 완료 및 대기 상태,높음,미완료,,,
미션,MIS-004,미션 참가 승인 (방장),참가 신청 존재,"1. 내 미션 관리
2. 참가 신청 목록 확인
3. 승인 버튼 클릭",참가자 승인 및 미션 멤버로 추가,높음,미완료,,,
미션,MIS-005,미션 수행 시작,"미션 참가 승인됨, 미션 시작됨","1. 오늘의 미션 화면
2. 미션 선택
3. 시작 버튼 클릭",미션 수행 시작 상태로 변경,높음,미완료,,,
미션,MIS-006,미션 수행 완료,미션 수행 중,"1. 진행 중인 미션 선택
2. 완료 버튼 클릭
3. 노트/이미지 추가 (선택)
4. 완료 처리",미션 완료 처리 및 기록 저장,높음,미완료,,,
미션,MIS-007,미션 피드 공유,미션 수행 완료,"1. 완료된 미션 선택
2. 피드 공유 옵션 선택
3. 공유 확인",활동 피드에 미션 완료 게시,중간,미완료,,,
미션,MIS-008,미션 캘린더 확인,미션 수행 기록 존재,"1. 미션 상세 화면
2. 캘린더 탭 선택
3. 월별 기록 확인",수행 날짜별 완료/미완료 표시,중간,미완료,,,
미션,MIS-009,미션 탈퇴,미션 참가 중,"1. 참가 중인 미션 선택
2. 탈퇴 버튼 클릭
3. 확인",미션에서 탈퇴 처리,중간,미완료,,,
미션,MIS-010,미션 삭제 (방장),본인이 생성한 미션,"1. 내 미션 관리
2. 삭제할 미션 선택
3. 삭제 버튼 클릭
4. 확인",미션 삭제 (참가자에게 알림),중간,미완료,,,
길드,GLD-001,길드 생성,로그인 상태,"1. 길드 탭 이동
2. 길드 생성 버튼
3. 이름/설명/카테고리 입력
4. 공개/비공개 설정
5. 거점 설정 (선택)
6. 생성",길드 생성 완료 및 마스터로 설정,높음,미완료,,,
